ProteinId	SampleName	Intensity	techRep	bioRep	Replicate	Imputed	log2NInt	log2NIntNorm	nRLE	z_norm	RunId	Condition
O00541	LFQ.intensity.2_hu_P1	0	1	1	1	1	0	20.4683022426709	-0.200667861221785	-0.316349010957357	Parental_SKBR3.1	Parental_SKBR3
O00541	LFQ.intensity.4_hu_P2	0	1	2	2	1	0	20.2679750596256	-0.400995044267056	-0.632160949343458	Parental_SKBR3.2	Parental_SKBR3
O00541	LFQ.intensity.6_hu_P3	0	1	3	3	1	0	21.4192315625239	0.750261458631304	1.18277271184505	Parental_SKBR3.3	Parental_SKBR3
O00567	LFQ.intensity.2_hu_P1	17313000	1	1	1	0	24.0453524010545	24.0453524010545	0.446496240808955	1.14050858499933	Parental_SKBR3.1	Parental_SKBR3
O00567	LFQ.intensity.4_hu_P2	17995000	1	2	2	0	24.1010927664742	24.1010927664742	0.502236606228667	1.28288910129887	Parental_SKBR3.2	Parental_SKBR3
O00567	LFQ.intensity.6_hu_P3	12502000	1	3	3	0	23.5756555718409	23.5756555718409	-0.0232005884045954	-0.0592624703951287	Parental_SKBR3.3	Parental_SKBR3
O00571	LFQ.intensity.2_hu_P1	35832000	1	1	1	0	25.0947452355178	25.0947452355178	-0.256720833169926	-0.938030455656215	Parental_SKBR3.1	Parental_SKBR3
O00571	LFQ.intensity.4_hu_P2	35998000	1	2	2	0	25.1014134188155	25.1014134188155	-0.250052649872181	-0.913665627371935	Parental_SKBR3.2	Parental_SKBR3
O00571	LFQ.intensity.6_hu_P3	36518000	1	3	3	0	25.1221044188794	25.1221044188794	-0.229361649808286	-0.838062927044645	Parental_SKBR3.3	Parental_SKBR3
O00629	LFQ.intensity.2_hu_P1	23744000	1	1	1	0	24.5010596612829	24.5010596612829	0.0852562946846582	0.387030860158886	Parental_SKBR3.1	Parental_SKBR3
O00629	LFQ.intensity.4_hu_P2	17771000	1	2	2	0	24.0830215304092	24.0830215304092	-0.332781836188993	-1.51070182890151	Parental_SKBR3.2	Parental_SKBR3
O00629	LFQ.intensity.6_hu_P3	20241000	1	3	3	0	24.2707772318822	24.2707772318822	-0.145026134716016	-0.658362996800029	Parental_SKBR3.3	Parental_SKBR3
O14495	LFQ.intensity.2_hu_P1	0	1	1	1	1	0	20.7128645297499	-0.668821824087875	-0.546737907770729	Parental_SKBR3.1	Parental_SKBR3
O14495	LFQ.intensity.4_hu_P2	0	1	2	2	1	0	20.1730591771346	-1.20862717670321	-0.988009466896124	Parental_SKBR3.2	Parental_SKBR3
O14495	LFQ.intensity.6_hu_P3	0	1	3	3	1	0	19.9750124992515	-1.40667385458634	-1.14990553907415	Parental_SKBR3.3	Parental_SKBR3
O14579	LFQ.intensity.2_hu_P1	11883000	1	1	1	0	23.5023957712879	23.5023957712879	0.85602656719081	0.763725719985597	Parental_SKBR3.1	Parental_SKBR3
O14579	LFQ.intensity.4_hu_P2	11052000	1	2	2	0	23.3978041314746	23.3978041314746	0.751434927377527	0.670411647172401	Parental_SKBR3.2	Parental_SKBR3
O14579	LFQ.intensity.6_hu_P3	13846000	1	3	3	0	23.7229659174788	23.7229659174788	1.07659671338175	0.960512946180943	Parental_SKBR3.3	Parental_SKBR3
P47813	LFQ.intensity.2_hu_P1	55038000	1	1	1	0	25.7139247097874	25.7139247097874	0.0254172469809504	0.14525881146218	Parental_SKBR3.1	Parental_SKBR3
P47813	LFQ.intensity.4_hu_P2	52872000	1	2	2	0	25.6560005650841	25.6560005650841	-0.0325068977223246	-0.185775954846978	Parental_SKBR3.2	Parental_SKBR3
P47813	LFQ.intensity.6_hu_P3	42958000	1	3	3	0	25.3564234913978	25.3564234913978	-0.332083971408657	-1.89785003185496	Parental_SKBR3.3	Parental_SKBR3
O14684	LFQ.intensity.2_hu_P1	13695000	1	1	1	0	23.7071459302548	23.7071459302548	1.17921824122039	0.838607379445378	Parental_SKBR3.1	Parental_SKBR3
O14684	LFQ.intensity.4_hu_P2	14325000	1	2	2	0	23.7720318031937	23.7720318031937	1.24410411415927	0.884751316136853	Parental_SKBR3.2	Parental_SKBR3
O14684	LFQ.intensity.6_hu_P3	15955000	1	3	3	0	23.9275052728288	23.9275052728288	1.39957758379432	0.995317108274696	Parental_SKBR3.3	Parental_SKBR3
O14737	LFQ.intensity.2_hu_P1	22367000	1	1	1	0	24.4148684304269	24.4148684304269	1.89617520566549	1.16715143799014	Parental_SKBR3.1	Parental_SKBR3
O14737	LFQ.intensity.4_hu_P2	15195000	1	2	2	0	23.8570933390717	23.8570933390717	1.33840011431036	0.823824514399371	Parental_SKBR3.2	Parental_SKBR3
O14737	LFQ.intensity.6_hu_P3	0	1	3	3	1	0	21.3133997235487	-1.20529350121265	-0.741893491138014	Parental_SKBR3.3	Parental_SKBR3
O14744	LFQ.intensity.2_hu_P1	8546200	1	1	1	0	23.0268516489961	23.0268516489961	-0.0542158445135001	-0.163390849323678	Parental_SKBR3.1	Parental_SKBR3
O14744	LFQ.intensity.4_hu_P2	10566000	1	2	2	0	23.3329259792145	23.3329259792145	0.251858485704823	0.759028513858883	Parental_SKBR3.2	Parental_SKBR3
O14744	LFQ.intensity.6_hu_P3	6359500	1	3	3	0	22.6004819109538	22.6004819109538	-0.480585582555822	-1.4483457227519	Parental_SKBR3.3	Parental_SKBR3
O14745	LFQ.intensity.2_hu_P1	108660000	1	1	1	0	26.6952457112208	26.6952457112208	1.91063770261216	0.870400306328556	Parental_SKBR3.1	Parental_SKBR3
O14745	LFQ.intensity.4_hu_P2	122120000	1	2	2	0	26.8637242537562	26.8637242537562	2.07911624514762	0.947151526527006	Parental_SKBR3.2	Parental_SKBR3
O14745	LFQ.intensity.6_hu_P3	116290000	1	3	3	0	26.7931518011319	26.7931518011319	2.00854379252333	0.915001902190296	Parental_SKBR3.3	Parental_SKBR3
O14776	LFQ.intensity.2_hu_P1	16060000	1	1	1	0	23.9369685570668	23.9369685570668	0.64507919065975	0.682563864414077	Parental_SKBR3.1	Parental_SKBR3
O14776	LFQ.intensity.4_hu_P2	17239000	1	2	2	0	24.0391727532044	24.0391727532044	0.747283386797427	0.79070700727956	Parental_SKBR3.2	Parental_SKBR3
